@relation 'AT: optdigits-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R1,40-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.263input3-0.253input59-0.226input11-0.221input10+0.217input34... numeric
@attribute '0.25 input6+0.244input15-0.238input61+0.226class=7+0.225input7...' numeric
@attribute -0.294input44-0.265input45-0.248input36-0.248input37+0.235input39... numeric
@attribute '0.217input21-0.214input52+0.204input62+0.201input54+0.2  input46...' numeric
@attribute 0.274input55-0.266input53+0.246class=6+0.221input56+0.219class=7... numeric
@attribute -0.297input19+0.283input50-0.279class=5+0.275input42-0.263input27... numeric
@attribute '-0.275class=2-0.273input53-0.272input64+0.24 input36-0.229input63...' numeric
@attribute 0.308input22+0.257class=0-0.252class=5+0.234input52-0.223input2... numeric
@attribute '0.436class=8+0.25 input51+0.247input16-0.213input38+0.212input24...' numeric
@attribute 0.289class=9-0.236class=0-0.235input12+0.225input18+0.222class=4... numeric
@attribute '0.32 input6-0.274input24-0.238input4-0.215input60-0.207input16...' numeric
@attribute -0.438input41-0.362input49-0.334input33+0.225input2+0.218input58... numeric
@attribute '0.3  class=3-0.292input28+0.274input37-0.27class=9-0.269input20...' numeric
@attribute '-0.469input17-0.411input25-0.231input18+0.21 input64-0.185input9...' numeric
@attribute 0.418input56+0.411input48+0.252input17+0.242class=8+0.234input64... numeric
@attribute 0.567input33-0.427input57+0.331input41-0.267input49-0.212input32... numeric
@attribute 0.399input25-0.39input32+0.333input17-0.259input5-0.256input24... numeric
@attribute 0.324input12-0.261input32+0.234input46+0.226input52+0.224input38... numeric
@attribute 0.326input9-0.321class=1-0.284input57-0.271input26+0.263input5... numeric
@attribute '0.449input9+0.33 input8-0.257input32-0.241input58-0.209input2...' numeric
@attribute -0.445input9-0.418input32+0.333input48+0.265input57-0.217input46... numeric
@attribute -0.489input9-0.443input57+0.192input25+0.172input13+0.168input50... numeric
@attribute -0.406input48+0.331input5+0.248input61+0.242input64+0.217input36... numeric
@attribute -0.284class=1-0.249input60-0.248input26-0.241input61+0.241class=8... numeric
@attribute -0.295input33-0.291input48+0.279input49-0.268class=2+0.233class=9... numeric
@attribute 0.295input31+0.287input23+0.277input36+0.274input54-0.253input8... numeric
@attribute '0.34 input12+0.244class=8+0.241input7-0.237class=9-0.224input48...' numeric
@attribute 0.335input49-0.296input57-0.204input42+0.202input58+0.201input8... numeric
@attribute '-0.62input17+0.594input25+0.217input9+0.15 input13+0.142class=9...' numeric
@attribute 0.356input13-0.355input52+0.335class=9+0.211input36-0.205input30... numeric
@attribute 0.357input32-0.354input24-0.234input50+0.232input8+0.206input10... numeric
@attribute 0.377input50-0.282input59-0.263input3-0.254input49-0.254input20... numeric
@attribute '-0.321input50-0.264input45-0.253class=1+0.248class=2+0.23 input29...' numeric
@attribute 0.277input50-0.257input24-0.222input21+0.212input27+0.211input32... numeric
@attribute -0.365input53-0.275input35+0.273input46+0.259input31-0.239input14... numeric
@attribute '0.347input39+0.3  input53-0.277input10+0.267input45-0.228input30...' numeric
@attribute 0.295input13-0.251input11-0.249input19-0.235input8-0.232input31... numeric
@attribute 0.308input19+0.268input44+0.252input13-0.239input28-0.222input12... numeric
@attribute '0.339input44+0.302input54-0.237class=6+0.22 class=4+0.218input56...' numeric
@attribute 0.364input26-0.344input42+0.341input20-0.193class=5-0.168input52... numeric
@attribute 0.346input56-0.255input63+0.234input51-0.216input62-0.208input48... numeric
@attribute -0.314input30-0.278input56-0.253input31-0.248input7+0.222input23... numeric
@attribute 0.456input41-0.3input49-0.299input33+0.225input61+0.194input26... numeric
@attribute '0.37 input41-0.246input33-0.245input61-0.235input49+0.229input23...' numeric
@attribute -0.34input37-0.274input4-0.259input41-0.254class=0-0.253input7... numeric
@attribute -0.323input54+0.298input63+0.279input46+0.273input31+0.255input51... numeric

@data
2.706786,1.379932,-3.311914,3.89985,-1.791018,0.385044,0.807871,0.903529,-0.403168,-0.220357,1.546078,1.526688,0.022082,-1.179462,0.39752,0.968233,-1.232709,-1.11122,-1.236321,0.148346,0.268797,-0.144103,0.334065,-0.681152,-0.165252,-0.093932,-0.971419,0.119634,-0.101859,0.613488,0.491524,0.131166,0.215999,0.038414,-1.518142,-0.324426,-0.047633,-0.684186,-0.483279,-0.574496,0.446703,-0.162738,-0.353425,0.040623,0.215584,-0.037212
4.382988,4.897112,1.885682,1.033964,1.236967,-3.406279,-3.75265,-1.71707,2.991199,0.21585,0.956013,1.791221,-1.06301,-0.796044,-0.432029,0.633799,0.616039,2.39371,-0.786338,0.707753,0.930584,0.560125,-0.419053,-1.323317,0.496293,-0.056067,0.618401,-0.258096,0.667967,1.629452,0.027117,0.827945,1.356134,0.324489,0.059245,0.295933,0.184033,0.043267,-0.653133,0.3022,0.998614,-0.13557,0.905796,-0.422084,-0.085685,0.452218
-0.658172,0.060902,0.957335,-0.621298,-2.916744,-3.535379,-1.287761,-0.756526,-0.86198,-0.78472,-0.579324,-1.326746,-0.250274,0.832208,-0.890163,-0.277154,0.354426,-0.137224,-0.229942,0.748026,-0.144496,0.226355,-0.996434,0.618257,-0.836237,-0.235492,0.441492,0.240456,-0.032325,-0.305308,-1.157288,0.093404,-0.189014,0.346776,0.365229,-0.451575,0.633855,-0.890632,-0.099917,0.083179,0.433492,0.919916,0.641905,0.04732,0.81926,0.707421
-2.724382,0.426797,1.022848,1.273045,0.716509,0.673506,1.735036,-0.994222,-0.317009,-0.222855,-0.49394,0.310165,2.877994,-0.14074,0.671291,0.216742,-0.858455,0.855823,-0.66297,-0.155952,0.384194,-0.206035,-0.450248,0.414127,0.63587,0.598278,0.721305,-0.642384,0.176137,0.927382,0.34514,0.114187,-0.44224,0.995105,-1.63579,-1.562454,-0.682294,-0.832282,0.385309,-0.038324,0.274158,-0.891108,-0.342074,0.433344,0.09159,0.010374
0.642632,-1.512657,4.195747,-3.155367,-1.749517,0.866468,-0.827699,1.405778,-1.157308,-0.279855,0.041565,0.766472,0.565878,0.419103,0.862061,0.470233,0.033747,-0.31916,-1.217006,0.511503,-0.33959,-0.656062,-1.654741,0.977226,0.491159,-0.249825,-0.55319,-0.147143,0.122335,-0.18779,0.555246,-0.433734,0.090747,-0.190459,-0.251421,-0.856453,0.65055,-0.022409,-1.477227,0.467809,0.114754,-0.087029,0.087544,0.207612,-0.64694,0.815611
3.903063,1.675533,-0.474919,1.372705,-1.075223,-0.736609,-1.109713,0.128186,-1.016815,1.963762,1.108205,0.883299,0.536188,0.365018,-0.00755,-0.60018,-0.219307,-0.020674,0.730628,-0.893178,1.027159,-0.713614,-0.24926,0.230374,-0.759229,-0.286613,0.827978,1.374117,-0.433577,-0.342698,-1.204251,0.228993,0.218404,2.041924,-1.119123,0.218243,-0.903018,0.360754,-0.385447,-0.012138,0.314726,-0.706291,0.985358,-1.046559,-0.560442,0.185045
0.639581,5.871059,-0.756002,-1.126324,1.994007,0.322522,0.929341,1.622447,-0.21916,0.957665,0.635573,-0.894366,-0.882667,-0.01531,-0.112185,-0.27589,0.103907,-1.058969,0.817107,-0.965864,-0.52385,-0.524611,0.449748,-0.529661,0.495784,1.262767,0.300323,-0.729713,0.049408,-1.128431,-0.645859,-0.426612,-0.01069,0.436357,1.650237,0.414556,-1.20093,-1.933473,0.30402,-0.720902,0.117495,-0.716602,-0.083984,-0.244116,0.335097,-0.067185
0.101528,0.304838,2.167101,0.545981,-0.293831,-1.517404,1.998773,0.653905,2.238386,1.815673,0.616289,-0.016659,-0.318641,-0.282339,0.583869,0.070506,-0.459052,-0.149401,0.017425,0.797999,0.179614,0.484964,-0.438894,0.550901,-0.327061,-0.085353,1.620107,0.128635,-0.713668,-2.159543,0.518246,1.026944,1.118108,-1.230873,-0.897963,0.130916,0.386221,-0.380938,0.321613,0.339783,-0.803648,-0.738635,-0.046686,0.538729,0.902585,-0.55223
5.840091,2.013561,0.724872,2.093296,-1.057873,-1.077664,-1.03975,-0.995815,-0.678337,1.618621,0.431425,1.317322,-0.738609,0.265485,0.976341,0.062722,-0.73467,1.223027,-0.009483,-0.262809,0.887882,0.449065,1.729897,-0.201217,-1.077767,1.907066,2.002529,-0.018464,0.227381,0.70292,-0.701156,-0.118656,0.636872,1.127277,-0.090426,0.243608,-0.992639,0.886464,-0.193247,0.6112,-0.104489,0.196608,0.086157,-0.28537,-0.682344,-0.004039
1.796936,6.148761,-0.471876,-1.935089,3.412418,-0.215935,1.238697,0.810791,-1.14025,-0.398034,1.405313,-0.80304,-0.041279,-0.051333,-0.473614,-0.255611,0.392932,1.094345,0.091418,-0.254347,-0.779234,0.524702,0.349686,-0.879055,-0.530195,1.039076,1.283815,-0.038211,-0.202932,0.222813,0.662585,0.426233,-0.610283,-0.462142,-0.637563,-0.132067,0.863391,0.55578,0.311946,0.127042,-0.883893,-0.318398,0.201521,-0.401049,-0.191499,-0.473568
0.228905,0.664261,2.151712,-0.003654,-0.583186,-1.205889,1.648012,0.752225,2.501604,1.474615,0.005926,0.041094,-0.784278,0.345078,0.993514,0.125733,-0.010033,-0.19205,-0.184329,0.608985,0.323234,0.264261,-0.012344,0.171492,-0.680298,0.620231,1.598853,-0.170332,-0.460005,-1.674486,0.289321,0.439011,1.235535,-0.937143,-0.874845,0.578842,0.804165,0.252557,0.059317,0.78025,0.152068,0.091432,0.240539,0.274036,0.599476,-0.921988
1.864332,0.577842,2.08572,-1.055656,-0.698925,-2.839862,0.613514,-2.298239,-2.037529,0.030375,0.802832,-0.700214,0.464889,0.334848,-0.703223,-0.53953,-0.009886,-1.355427,-0.169603,0.820646,0.29495,0.108449,0.917586,-0.07356,-1.479541,0.426787,-0.04389,1.096802,-0.426574,0.021364,0.214749,1.120351,0.544896,-1.208884,-0.759889,0.157753,0.406149,-0.228348,-0.182026,0.304742,0.22722,-0.566185,-0.212246,0.761899,0.406931,0.759334
1.309678,1.776669,2.86602,3.511316,-0.895573,-1.532789,-1.240632,-0.337377,0.101971,1.056995,1.604041,0.493578,-1.587272,-0.757593,-1.294046,0.020621,0.399169,0.739078,1.059889,0.002772,-0.486401,0.478847,-1.754201,1.151448,-0.281794,-0.813904,0.767749,-0.421864,0.486406,0.859572,0.320708,1.059633,0.555382,-1.203247,-0.428762,-0.080353,-0.58133,0.353105,0.182457,0.609616,-0.23368,-0.612874,0.645504,-0.317071,-0.104031,0.357458
-2.404041,-3.493518,-5.834441,2.226329,2.629514,-2.060579,-5.646148,0.52625,-1.023431,-0.284666,2.068811,-2.057816,-0.502902,3.948913,4.35839,-0.406605,1.480873,-3.314395,-3.53507,1.637256,-2.073647,-1.708226,2.643526,1.156403,2.781942,0.202989,1.82051,-1.066968,-0.073447,0.710619,0.731524,2.250246,-0.03984,-0.765478,-0.763278,0.073844,-1.160948,1.021366,0.340234,-0.339705,-0.433433,0.045457,0.700515,-0.765186,0.807148,-0.930306
-4.247242,-0.414698,-2.607607,0.043878,1.730296,0.922063,-4.114748,1.941292,-1.142999,-0.019003,1.042646,-1.018202,1.935258,1.459714,-0.069491,-0.531124,0.043282,0.013541,-0.104866,0.549364,-0.550813,0.731302,0.954994,0.759064,-0.308116,-0.418211,-0.341603,0.07176,0.287442,0.152283,-0.064375,-0.390439,0.795485,-0.074592,-0.411078,0.807121,0.10587,0.278304,-0.299471,-0.283842,-0.168858,0.123887,-0.348285,-0.167783,0.003901,-1.172665
1.311387,-2.787041,4.792974,-1.315079,-0.312689,0.406149,-0.074435,2.154145,-0.187901,-0.641663,0.16474,0.566479,0.415922,-0.413284,0.122328,0.346981,-0.020619,-1.084028,-0.727882,0.101037,0.381625,-0.959803,-0.364155,0.382381,-0.404491,-0.245932,0.330751,1.139907,-0.303615,0.517069,0.254752,0.367658,-0.060177,-0.342428,-0.183828,-0.374511,0.260494,0.289624,-0.072908,-0.166806,-0.029977,-0.504289,-0.01764,-0.301324,-0.358999,-0.258899
0.818567,-4.375571,0.06816,-0.435374,3.126956,-1.271616,2.508257,-0.975817,0.126629,0.16089,-0.461873,0.253214,0.123365,-0.944907,-1.334315,0.028247,-0.191273,0.294846,-0.07102,-0.656696,-0.152461,-0.309429,0.404412,-0.11029,-0.189837,-0.089096,0.266007,0.366318,-0.248321,-0.23019,-0.606457,0.621971,0.179479,-0.062195,-1.003975,0.536401,-0.165251,1.005902,-1.076339,0.032636,0.733998,-0.195062,-0.113802,0.237361,-0.313594,-0.692712
2.159077,1.924133,-2.261106,5.177496,-1.790627,-0.048069,0.219255,0.040694,-0.624715,0.725318,2.470479,2.07667,-0.11079,-1.142151,-0.028666,0.754462,-0.790931,-2.034995,-1.815715,0.519578,-0.295809,-0.495154,-1.106355,0.385228,-0.48981,0.443199,-1.316412,0.627462,-0.218807,-0.229011,0.092338,0.005157,-0.206895,0.719229,-0.938021,0.379858,0.168335,-0.645773,-0.58793,-0.366245,-0.00215,-0.088026,-0.199596,0.248307,0.073029,-0.136366
-0.553863,0.34583,2.79004,-0.717891,-1.373343,-0.295334,2.134725,-0.367426,2.820064,1.559246,0.82841,0.22689,-0.882438,0.457683,1.384203,-0.004642,0.391737,-0.493378,-0.565136,1.565022,-0.022281,0.871261,-0.87111,0.09971,-0.554716,-0.19496,1.614379,-1.620421,0.075278,-1.101856,0.026468,0.17532,0.638254,-0.790172,-1.329079,-0.022295,0.28245,-0.39331,-0.610976,0.91733,0.072209,0.032814,-0.431161,0.553898,-0.049733,-1.050564
-0.507671,3.829536,-0.892047,-1.055436,1.325453,1.283079,3.009661,1.319416,-2.089085,1.367427,-1.019542,-1.078849,-0.95439,-0.507534,-0.422746,0.175023,-0.842108,-1.731648,-0.499894,1.148465,-0.243889,0.361009,0.523723,1.311327,-0.127953,0.410576,-0.764207,-0.091067,0.230676,-0.103986,-0.446758,0.18699,0.483732,0.460271,-0.005431,0.169952,-0.244474,0.281248,-0.325683,0.178414,-0.375374,-0.091525,0.027486,0.105716,0.177808,-0.611211
0.20414,-2.926129,4.548498,-2.388822,-0.218475,0.90411,-0.080649,1.832051,-0.008686,-0.859888,0.193951,0.286047,0.141621,-0.27441,0.116523,0.169866,0.257358,-1.507186,-0.695117,0.300566,0.240465,-0.79386,-0.520244,-0.140051,-0.028273,0.246002,-0.101289,0.380376,-0.13805,0.124086,0.133328,0.001257,-0.272624,0.167443,-0.152672,0.549335,0.133474,0.27273,0.053012,-0.374965,-0.03667,-0.009876,0.053813,-0.343824,-0.51915,0.034319
1.027444,5.732874,0.254655,-0.902965,1.611934,0.313237,0.622938,1.103652,-0.813258,0.854984,0.588252,-0.994589,-0.448379,0.697019,0.364273,-0.337706,0.133384,-0.798851,0.103273,-0.635509,-0.869249,-0.335421,0.471505,-0.221219,0.753991,1.259339,-1.079283,-0.473935,-0.005835,-1.4398,-0.340192,-0.887247,0.018487,1.05524,1.448312,0.640496,0.169528,-1.542514,-0.91409,-0.756725,0.009113,-0.248664,0.003407,-0.376989,-0.035924,-0.286274
0.368986,-4.801649,0.32355,-1.837096,2.656352,-1.430983,1.925811,-1.203516,0.097287,0.777807,0.314348,0.558071,1.676303,-0.975888,-1.018194,0.054716,-0.182265,0.088745,-0.729714,-0.436213,-0.111143,-0.329847,-0.216868,-0.634901,0.4995,-0.480211,-0.16345,-0.280378,0.170156,0.480256,-0.349865,0.23265,-0.146195,-0.686751,0.039945,0.128552,-0.185446,-0.136173,-0.446023,0.228021,0.739942,0.095744,-0.309499,0.5028,-0.242163,0.191208
5.595795,3.081849,1.647711,1.218698,0.340174,-2.49601,-2.554316,-1.217934,1.60133,0.765617,1.529164,2.237326,-0.763672,-0.477883,0.097528,0.841348,-0.065081,2.247513,-0.921534,-0.660423,0.366311,0.211657,0.591697,-0.881828,-0.271346,1.060619,0.388836,-0.631109,1.238473,3.133079,-0.613672,0.300396,0.832749,-0.034248,-0.678922,-0.23485,0.375558,0.467476,-0.238277,0.500775,1.44877,0.411987,0.425111,-0.131905,0.183632,-0.301698
2.191027,1.421663,-1.670245,5.570504,-2.263105,-1.228787,-0.919883,-0.266857,-0.583009,0.505503,3.161551,1.996871,-0.108201,-1.447977,0.071758,0.849919,-1.155642,-1.248376,-2.21501,0.738226,-0.425227,0.38974,-0.787576,-0.334402,-0.566882,-0.032541,-1.068756,0.350654,0.001878,-0.573053,-0.203666,-0.483365,-0.161664,0.361816,0.298005,0.530635,0.191492,-0.513677,-0.444402,1.054897,-0.397633,0.07779,0.386149,0.2997,-0.318473,0.321251
1.72971,4.916672,-0.041817,-1.333963,0.98449,-3.282764,-1.892678,-0.668894,2.1716,1.139621,0.114099,-0.126538,-1.501868,0.386942,-0.523936,0.063302,1.4779,0.254455,0.062742,-0.762317,0.389959,-0.965528,-0.611615,-2.869181,1.169148,-0.050584,-0.197341,-1.72271,0.980596,0.243372,-0.38561,-0.786986,1.788305,-0.527059,0.440161,1.081467,0.793264,0.072848,0.445217,0.461264,-0.199688,0.63063,-0.50609,0.086651,-0.66185,-0.945915
-1.557384,-0.491102,1.434701,2.538617,-1.192581,2.136418,1.168925,-1.573106,0.229791,-1.639504,-1.047925,-0.545526,-0.806613,0.454135,-0.273239,-1.066333,1.211279,-0.87737,0.089355,1.129153,0.161013,0.460464,-0.29777,-0.261331,-0.418011,0.624977,0.121721,-0.695646,0.402484,-0.196281,-1.569541,1.619794,0.271897,1.791713,0.459727,0.382953,0.531875,0.133014,-0.764361,0.820384,-0.701922,-1.117551,0.234452,0.172509,0.771111,-1.013812
5.121297,5.456909,1.367701,0.787074,2.80796,-1.86361,-4.583022,-2.673734,4.014466,-0.579075,-0.987978,1.957823,-2.120875,-0.462712,-0.569589,0.426302,1.281582,0.37218,0.657182,0.29016,1.061963,-0.854184,-0.473661,0.285451,0.649131,-0.306961,-0.372368,-0.221558,0.306395,0.294972,-0.636249,0.638462,1.062514,0.118057,-1.392723,0.003708,0.120829,-0.196128,-0.792242,-0.255951,1.035,0.465567,0.529355,0.125047,0.699661,0.126956
